ward_code,ward_name,Borough,Zone,mode_share,PTAL_bus2015,PTAL_LUL2015,PTAL_rail2015,PTAL_tram2015,PTAL_AI2015,speed_weekday_allday,speed_weekday_AM,speed_weekday_IN,change_weekday_allday,change_weekday_AM,change_weekday_IN,weekday_boardings_allday,weekend_boardings_ratio,alightings_boardings_ratio,2013_population,pop_0to15_perc,pop_16to64_perc,pop_65plus_perc,area_km,2013_pop_density,2014_med_house_price,2014_mean_income,2011_cars_own_density,2011_cars_per_household,2011_ethnic_white,2011_ethnic_mixed,2011_ethnic_asian,2011_ethnic_black
E05000608,William Morris,Waltham Forest,Outer,0.048508685,7.563852894,1.397960054,1.406648139,0,10.36846109,14.40646042,13.51044915,13.74885231,-1.213806651,-1.235291314,-1.440725555,23028.47768,79.50330318,65.53583493,13557,23.07692308,68.86446886,8.058608059,0.99919,13567.99007,351625,35559.77773,3083.497633,0.620668815,47.20808438,5.517444862,24.73998672,16.15401638
E05000105,Willesden Green,Brent,Outer,0.327637157,10.43710607,2.420614269,0,0,12.85772034,15.55146867,15.62182926,14.51155084,0.047987661,0.038659406,-0.003028597,101509.1558,85.65514407,75.96431481,15827,19.18238994,72.95597484,7.86163522,1.54803,10223.96207,409500,31321.05413,1928.257204,0.492005934,46.56599482,6.962785114,21.08422316,18.94863208
E05000533,Whitton,Richmond upon Thames,Outer,0.034574894,3.350480006,0,2.079240595,0,5.4297206,20.20289251,19.06538955,19.3092827,-0.633564557,-0.781542154,-0.51288631,5206.30267,79.2343554,58.61943179,9955,19,63.5,17.5,1.62597,6122.499185,420000,45379.09083,2829.080487,1.206082853,76.89603214,3.666499247,13.08890005,2.08940231
E05000454,Whitefoot,Lewisham,Inner,0.194506028,5.223457529,0,1.165411632,0,6.388869161,19.35357064,18.35058736,18.67068455,-0.727947105,-0.68226383,-0.576480652,31663.0356,74.70000077,57.82184381,14691,24.57337884,64.16382253,11.26279863,2.23004,6587.77421,248000,33801.07843,2027.766318,0.81816537,48.02259887,6.806888571,9.584099108,30.11367504
E05009336,Whitechapel,Tower Hamlets,Inner,0.169228023,13.84526877,12.48066962,8.435328205,0,34.76126659,13.48808,12.79212291,11.94283232,-0.130811952,-0.624802171,0.555949071,59875.28784,80.1669135,164.2349329,14100,17.09512274,76.77142714,6.133450126,0.95978,14690.86666,460000,47619.60209,2105.778281,0.38203993,40.71835512,3.033478741,41.89518723,3.849070189
E05000283,White Hart Lane,Haringey,Outer,0.330891149,8.406039492,0,1.082978372,0,9.489017864,20.09889196,18.95816904,19.56597494,-0.916649239,-1.069785266,-0.788087248,27514.98458,82.25305678,44.62620101,13708,25.18248175,66.42335766,8.394160584,1.69885,8068.987845,267000,24978.97358,1778.261765,0.626763485,46.55675518,7.484680479,9.658593522,27.72833382
E05000042,Whalebone,Barking and Dagenham,Outer,0.140200782,5.486554462,0,1.476987636,0,6.963542098,15.42479512,14.37910877,14.78114667,-0.621944192,-0.538434596,-0.302490898,24793.4017,71.31273573,135.1774392,10915,23.04147465,64.51612903,11.98156682,1.55399,7023.854722,235000,41614.25085,2482.641458,0.971543692,54.20980302,4.031149794,19.63353184,17.46220797
E05000648,Westbourne,Westminster,Inner,0.218252044,12.12212727,6.379202489,1.120056776,0,19.62138654,15.84742096,15.49475755,14.74438747,-0.110475244,0.011479454,-0.071826748,43968.79187,80.64500946,97.12741083,12995,21.23552124,69.88416988,9.266409266,0.67646,19210.30068,499975,40535.94853,2900.393224,0.366318148,46.35629088,6.525586764,13.88995768,14.44401693
E05000127,West Wickham,Bromley,Outer,0.060763456,3.067629053,0,1.203025321,0,4.270654375,25.81477187,24.10428777,24.48836473,-1.108121386,-1.246727815,-1.074902886,7203.752227,74.98699093,55.03472602,15165,18.48184818,61.05610561,20.79207921,4.41047,3438.409058,475000,63002.98699,1843.114226,1.422646132,87.73491592,3.132212331,4.279591164,2.453016815
E05000532,West Twickenham,Richmond upon Thames,Outer,0.100310364,5.913249999,0,0.314182279,0,6.227432278,19.75281765,17.09873144,19.64478167,-0.407630865,-0.075297721,-0.38065869,15881.69708,68.30814278,51.85623141,10674,22.42990654,65.42056075,12.61682243,2.45856,4341.565795,450000,49448.03963,1982.054536,1.138551402,82.85553682,4.065954656,8.384860408,1.742551996
E05000168,West Thornton,Croydon,Outer,0.179968213,6.93932283,0,0.032367298,0.622903642,7.59459377,15.65375139,15.31822853,14.51466969,-0.774573877,-1.032668824,-0.541239026,62665.22026,67.88501714,79.48273208,17753,24.64985994,65.82633053,9.523809524,1.97117,9006.326192,235000,31433.72988,2561.422911,0.826620825,23.18481383,6.365121388,36.42764603,29.96676618
E05000343,West Ruislip,Hillingdon,Outer,0.059917021,2.468090059,1.766080213,0.383216937,0,4.617387209,20.18771952,18.82796441,19.22121283,-0.460333656,-0.102059734,-0.64076216,17682.50324,77.94244761,138.2506428,11224,17.85714286,64.73214286,17.41071429,4.3874,2558.234946,335000,55616.34988,1321.511601,1.266768626,77.51247327,3.296507484,10.2191732,1.933357092
E05000629,West Putney,Wandsworth,Inner,0.17643812,5.861800165,0,1.130413548,0,6.992213713,20.57774115,19.26454582,19.84278215,-0.327002576,-0.660611644,0.078586418,31658.60338,72.81579317,83.39935302,15107,17.54966887,69.20529801,13.24503311,1.84761,8176.509112,497800,52525.74323,2718.106094,0.804420951,75.2829814,4.832196995,7.605745681,7.347587211
